time,x,y,freq,type
2015/2/1,1002619,191225,1,F
2015/2/1,987829,149693,1,F
2015/2/1,1009872,182483,2,F
2015/2/1,1008544,186799,1,F
2015/2/1,1012059,184111,1,F
2015/3/1,1036118,196529,1,B
2015/2/1,1022958,181217,1,F
2015/2/1,1009850,181614,1,F
2015/2/1,1021683,182460,1,F
2015/2/1,995049,197226,1,F
2015/2/1,999253,230257,1,F
2015/2/1,1002762,249036,2,F
2015/2/1,999635,235961,1,F
2015/2/1,988855,217773,1,F
2015/2/1,988271,206808,1,F
2015/2/1,1002572,231625,1,F
2015/1/1,1031236,189134,1,F
2015/2/1,1002171,234538,1,F
2015/2/1,1048647,183866,1,F
2015/2/1,1005818,220239,1,F
2015/2/1,1024078,212236,1,F
2015/2/1,1042939,154268,1,F
2015/2/1,1049204,188731,1,F
2015/2/1,1037771,182050,1,F
2015/2/1,1005187,217325,1,F
2015/2/1,1056740,183627,1,F
2015/2/1,1027136,223263,2,F
2015/3/1,1014478,210415,1,B
2015/2/1,1042714,197052,1,F
2015/2/1,1043257,197215,1,F
2015/2/1,1024477,211230,1,F
2015/2/1,1020639,215558,1,F
2015/2/1,1044963,186086,1,F
2015/2/1,1027020,223544,1,F
2015/2/1,1030373,215629,1,F
2015/2/1,952636,150671,2,F
2015/3/1,1016250,227533,26,F
2015/3/1,1007034,247903,1,F
2015/3/1,1021635,211011,2,B
2015/2/1,1011528,238072,1,F
2015/2/1,1016933,259445,1,F
2015/3/1,1020774,240463,1,F
2015/2/1,1015376,242891,1,F
2015/2/1,1014164,248149,1,F
2015/2/1,1011821,248080,1,F
2015/2/1,1031159,261035,1,F
2015/3/1,1007961,240955,1,F
2015/3/1,1012236,239328,2,F
2015/2/1,994932,177065,1,F
2015/3/1,1041898,155799,1,B
2015/3/1,997621,174136,1,F
2015/3/1,1005061,181045,2,F
2015/2/1,1015481,181598,1,F
2015/2/1,1007524,188555,2,F
2015/2/1,1009869,180290,1,F
2015/2/1,997438,173064,1,F
2015/2/1,992535,168751,1,F
2015/2/1,1016311,181804,1,F
2015/2/1,1016278,183982,1,F
2015/3/1,1017686,178524,1,F
2015/1/1,946937,172782,1,F
2015/2/1,978177,169291,1,F
2015/2/1,975428,165783,1,F
2015/2/1,989423,192186,1,F
2015/3/1,997877,186484,1,F
2015/2/1,999200,190023,1,F
2015/2/1,1006605,254113,1,F
2015/2/1,999357,238995,1,F
2015/2/1,986059,215171,1,F
2015/2/1,998235,239902,2,F
2015/3/1,1004980,253368,4,F
2015/3/1,945865,141021,1,B
